grid_id,grid_lat,grid_lon,date,fire_count,avg_brightness,avg_frp,max_frp,baseline_mean,baseline_std,z_score,is_anomaly
36.25_29.25,36.25,29.25,2026-08-29,147,351.69156462585033,50.031020408163265,222.3,,,,False
36.25_29.25,36.25,29.25,2026-08-30,5,305.134,1.226,1.63,147.0,,,False
36.25_30.0,36.25,30.0,2026-09-01,1,336.2,2.0,2.0,,,,False
36.25_33.5,36.25,33.5,2026-08-26,1,316.98,1.66,1.66,,,,False
36.25_33.5,36.25,33.5,2026-08-31,1,311.88,1.81,1.81,1.0,,,False
36.25_33.5,36.25,33.5,2026-09-01,2,307.83500000000004,1.0,1.0,1.0,0.0,,False
36.25_36.25,36.25,36.25,2026-08-27,2,342.615,10.37,11.37,,,,False
36.25_36.25,36.25,36.25,2026-08-31,2,338.03999999999996,10.83,12.05,2.0,,,False
36.5_35.0,36.5,35.0,2026-08-27,4,343.79,7.895,9.22,,,,False
36.5_35.5,36.5,35.5,2026-08-30,1,333.26,1.59,1.59,,,,False
36.5_35.5,36.5,35.5,2026-09-01,1,334.32,3.62,3.62,1.0,,,False
36.5_36.0,36.5,36.0,2026-08-30,7,319.2914285714286,2.3857142857142857,4.77,,,,False
36.5_36.0,36.5,36.0,2026-08-31,7,319.11571428571426,2.9057142857142857,5.0,7.0,,,False
36.5_36.0,36.5,36.0,2026-09-01,1,332.36,5.6,5.6,7.0,0.0,,False
36.5_36.25,36.5,36.25,2026-08-27,4,344.0625,8.58,15.58,,,,False
36.5_36.25,36.5,36.25,2026-08-31,1,333.81,3.17,3.17,4.0,,,False
36.5_36.25,36.5,36.25,2026-09-01,2,338.945,6.795,7.87,2.5,2.1213203435596424,-0.23570226039551587,False
36.75_30.5,36.75,30.5,2026-08-29,4,334.08750000000003,5.475,8.37,,,,False
36.75_31.0,36.75,31.0,2026-08-26,1,340.05,2.5,2.5,,,,False
36.75_34.75,36.75,34.75,2026-08-31,1,308.71,1.53,1.53,,,,False
36.75_35.0,36.75,35.0,2026-08-27,2,344.78,5.135,5.62,,,,False
36.75_35.25,36.75,35.25,2026-08-27,4,347.09000000000003,32.53,32.53,,,,False
36.75_35.25,36.75,35.25,2026-09-01,1,356.87,7.04,7.04,4.0,,,False
36.75_35.75,36.75,35.75,2026-08-30,2,344.385,5.535,6.63,,,,False
36.75_38.5,36.75,38.5,2026-08-26,2,353.07,10.06,13.94,,,,False
36.75_39.25,36.75,39.25,2026-08-31,1,342.59,2.88,2.88,,,,False
37.0_30.75,37.0,30.75,2026-08-26,2,343.71000000000004,31.85,49.94,,,,False
37.0_30.75,37.0,30.75,2026-09-01,1,342.22,4.49,4.49,2.0,,,False
37.0_31.25,37.0,31.25,2026-08-30,6,357.81666666666666,11.021666666666668,16.52,,,,False
37.0_31.25,37.0,31.25,2026-08-31,2,304.71500000000003,1.02,1.2,6.0,,,False
37.0_33.75,37.0,33.75,2026-09-01,1,341.27,3.73,3.73,,,,False
37.0_35.0,37.0,35.0,2026-08-31,2,334.71000000000004,1.62,1.65,,,,False
37.0_35.5,37.0,35.5,2026-08-31,2,306.885,1.325,1.83,,,,False
37.0_35.75,37.0,35.75,2026-08-26,2,329.22,3.745,6.31,,,,False
37.0_35.75,37.0,35.75,2026-08-27,1,339.3,3.08,3.08,2.0,,,False
37.0_35.75,37.0,35.75,2026-08-30,6,346.24,20.261666666666667,51.13,1.5,0.7071067811865476,6.363961030678928,True
37.0_35.75,37.0,35.75,2026-08-31,3,353.81666666666666,7.12,8.5,3.0,2.6457513110645907,0.0,False
37.0_35.75,37.0,35.75,2026-09-01,2,342.275,8.16,8.16,3.0,2.160246899469287,-0.4629100498862757,False
37.0_36.0,37.0,36.0,2026-08-30,17,345.40352941176474,9.648235294117647,18.71,,,,False
37.0_36.0,37.0,36.0,2026-08-31,22,346.0309090909091,12.00090909090909,140.22,17.0,,,False
37.0_36.0,37.0,36.0,2026-09-01,20,344.1185,9.936,49.94,19.5,3.5355339059327378,0.1414213562373095,False
37.0_36.75,37.0,36.75,2026-08-30,1,341.65,3.72,3.72,,,,False
37.0_38.25,37.0,38.25,2026-09-01,1,344.69,5.89,5.89,,,,False
37.0_39.0,37.0,39.0,2026-09-01,2,345.06,5.1899999999999995,5.2,,,,False
37.0_39.25,37.0,39.25,2026-09-01,1,335.71,6.02,6.02,,,,False
37.0_39.5,37.0,39.5,2026-08-26,1,367.0,11.52,11.52,,,,False
37.0_39.5,37.0,39.5,2026-08-29,1,344.35,2.72,2.72,1.0,,,False
37.0_40.0,37.0,40.0,2026-08-29,1,348.53,8.04,8.04,,,,False
37.0_42.0,37.0,42.0,2026-09-01,3,340.73,4.44,7.42,,,,False
37.25_30.25,37.25,30.25,2026-08-26,1,317.66,2.17,2.17,,,,False
37.25_30.25,37.25,30.25,2026-08-29,1,305.04,0.98,0.98,1.0,,,False
37.25_30.25,37.25,30.25,2026-08-30,1,308.36,1.72,1.72,1.0,0.0,,False
37.25_30.25,37.25,30.25,2026-08-31,3,328.17,4.513333333333333,5.81,1.0,0.0,,False
37.25_30.25,37.25,30.25,2026-09-01,2,307.255,1.295,2.23,1.5,1.0,0.5,False
37.25_31.25,37.25,31.25,2026-08-30,2,343.2,15.59,19.26,,,,False
37.25_32.5,37.25,32.5,2026-09-01,1,341.03,3.03,3.03,,,,False
37.25_35.5,37.25,35.5,2026-09-01,1,350.67,24.15,24.15,,,,False
37.25_35.75,37.25,35.75,2026-08-27,17,347.84411764705885,8.86235294117647,15.34,,,,False
37.25_35.75,37.25,35.75,2026-08-30,2,347.03499999999997,7.51,8.54,17.0,,,False
37.25_35.75,37.25,35.75,2026-08-31,9,347.46,5.267777777777778,8.3,9.5,10.606601717798213,-0.04714045207910317,False
37.25_35.75,37.25,35.75,2026-09-01,12,346.91333333333336,11.265,27.82,9.333333333333334,7.505553499465135,0.35529247334746195,False
37.25_36.75,37.25,36.75,2026-08-30,1,340.85,3.57,3.57,,,,False
37.25_37.0,37.25,37.0,2026-08-26,1,337.43,4.35,4.35,,,,False
37.25_37.0,37.25,37.0,2026-08-31,2,301.68,0.655,0.75,1.0,,,False
37.25_38.5,37.25,38.5,2026-09-01,1,348.15,3.08,3.08,,,,False
37.25_39.0,37.25,39.0,2026-08-26,2,305.745,0.47,0.61,,,,False
37.25_39.25,37.25,39.25,2026-08-30,2,339.025,19.685,27.22,,,,False
37.25_39.5,37.25,39.5,2026-08-29,1,334.49,2.29,2.29,,,,False
37.25_39.5,37.25,39.5,2026-09-01,2,350.38,17.93,17.93,1.0,,,False
37.25_40.75,37.25,40.75,2026-08-26,1,307.05,0.62,0.62,,,,False
37.25_41.0,37.25,41.0,2026-08-29,1,347.04,6.67,6.67,,,,False
37.25_42.0,37.25,42.0,2026-08-26,1,350.89,9.91,9.91,,,,False
37.25_42.25,37.25,42.25,2026-08-31,1,342.17,3.88,3.88,,,,False
37.25_43.5,37.25,43.5,2026-08-29,1,341.17,7.55,7.55,,,,False
37.5_32.75,37.5,32.75,2026-08-27,1,340.55,6.55,6.55,,,,False
37.5_37.25,37.5,37.25,2026-08-30,1,332.3,2.89,2.89,,,,False
37.5_38.0,37.5,38.0,2026-08-31,1,300.12,0.89,0.89,,,,False
37.5_38.25,37.5,38.25,2026-09-01,1,345.55,5.61,5.61,,,,False
37.5_39.0,37.5,39.0,2026-08-27,2,343.945,5.915,8.83,,,,False
37.5_39.0,37.5,39.0,2026-08-29,1,343.22,5.08,5.08,2.0,,,False
37.5_39.0,37.5,39.0,2026-09-01,5,341.298,4.6579999999999995,6.83,1.5,0.7071067811865476,4.949747468305833,True
37.5_39.25,37.5,39.25,2026-08-27,2,354.58500000000004,10.51,15.63,,,,False
37.5_39.25,37.5,39.25,2026-08-29,1,337.4,3.44,3.44,2.0,,,False
37.5_39.25,37.5,39.25,2026-08-30,5,336.558,3.5699999999999994,4.97,1.5,0.7071067811865476,4.949747468305833,True
37.5_39.25,37.5,39.25,2026-08-31,1,339.13,3.42,3.42,2.6666666666666665,2.0816659994661326,-0.8006407690254357,False
37.5_42.25,37.5,42.25,2026-08-29,1,346.5,14.97,14.97,,,,False
37.75_27.5,37.75,27.5,2026-08-29,1,301.55,0.46,0.46,,,,False
37.75_28.0,37.75,28.0,2026-08-27,1,340.07,2.28,2.28,,,,False
37.75_29.0,37.75,29.0,2026-08-30,1,333.29,2.08,2.08,,,,False
37.75_29.0,37.75,29.0,2026-08-31,2,317.94500000000005,0.92,1.34,1.0,,,False
37.75_29.25,37.75,29.25,2026-08-26,1,305.92,0.96,0.96,,,,False
37.75_29.25,37.75,29.25,2026-08-31,1,311.76,0.86,0.86,1.0,,,False
37.75_30.25,37.75,30.25,2026-08-26,1,303.62,1.24,1.24,,,,False
37.75_30.25,37.75,30.25,2026-08-30,1,298.95,1.12,1.12,1.0,,,False
37.75_30.25,37.75,30.25,2026-08-31,1,302.85,0.99,0.99,1.0,0.0,,False
37.75_30.5,37.75,30.5,2026-08-29,1,351.31,6.68,6.68,,,,False
37.75_32.5,37.75,32.5,2026-08-26,1,302.15,0.76,0.76,,,,False
37.75_32.5,37.75,32.5,2026-08-30,1,295.69,0.37,0.37,1.0,,,False
37.75_32.5,37.75,32.5,2026-08-31,1,334.01,4.84,4.84,1.0,0.0,,False
37.75_33.5,37.75,33.5,2026-08-27,1,346.88,4.86,4.86,,,,False
37.75_38.25,37.75,38.25,2026-08-27,2,367.0,12.21,12.21,,,,False
37.75_38.75,37.75,38.75,2026-08-31,1,337.59,5.96,5.96,,,,False
37.75_40.0,37.75,40.0,2026-08-26,1,310.24,0.96,0.96,,,,False
