latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
38.65825,30.61822,298.27,0.74,0.76,2026-08-28,113,N,VIIRS,n,2.0NRT,285.14,1.57,N
38.73445,26.94638,305.5,0.49,0.65,2026-08-28,113,N,VIIRS,n,2.0NRT,292.6,2.66,N
39.09195,27.51125,303.47,0.51,0.66,2026-08-28,113,N,VIIRS,n,2.0NRT,290.41,1.15,N
39.09244,27.51197,304.47,0.51,0.66,2026-08-28,113,N,VIIRS,n,2.0NRT,290.1,1.16,N
39.48657,30.03981,295.67,0.66,0.73,2026-08-28,113,N,VIIRS,n,2.0NRT,284.36,1.0,N
39.60815,27.87794,298.55,0.51,0.66,2026-08-28,113,N,VIIRS,n,2.0NRT,288.48,0.42,N
41.25465,31.41189,306.36,0.67,0.74,2026-08-28,113,N,VIIRS,n,2.0NRT,284.52,2.76,N
41.25597,31.41436,307.43,0.67,0.74,2026-08-28,113,N,VIIRS,n,2.0NRT,284.47,3.81,N
41.26474,31.42704,300.37,0.67,0.74,2026-08-28,113,N,VIIRS,n,2.0NRT,285.08,2.88,N
35.95008,43.72897,305.08,0.65,0.73,2026-08-26,9,N,VIIRS,n,2.0NRT,294.42,2.39,N
35.97614,43.77404,313.2,0.65,0.73,2026-08-26,9,N,VIIRS,n,2.0NRT,296.02,4.94,N
35.98242,43.77737,323.92,0.65,0.73,2026-08-26,9,N,VIIRS,n,2.0NRT,296.27,4.94,N
35.99939,43.7697,317.17,0.65,0.73,2026-08-26,9,N,VIIRS,n,2.0NRT,294.2,5.84,N
36.01869,43.68326,307.82,0.64,0.72,2026-08-26,9,N,VIIRS,n,2.0NRT,293.57,1.99,N
36.77362,43.32988,321.61,0.59,0.7,2026-08-26,9,N,VIIRS,n,2.0NRT,296.99,7.13,N
36.77557,43.32349,333.52,0.59,0.7,2026-08-26,9,N,VIIRS,n,2.0NRT,297.8,9.36,N
36.866,43.48736,324.52,0.6,0.7,2026-08-26,9,N,VIIRS,n,2.0NRT,294.89,2.57,N
36.8707,43.49513,316.84,0.6,0.7,2026-08-26,9,N,VIIRS,n,2.0NRT,295.24,2.57,N
36.88889,43.43515,321.72,0.59,0.7,2026-08-26,9,N,VIIRS,n,2.0NRT,293.55,2.41,N
36.89111,43.42781,303.42,0.59,0.7,2026-08-26,9,N,VIIRS,n,2.0NRT,291.63,2.32,N
36.91328,41.89565,302.31,0.49,0.65,2026-08-26,9,N,VIIRS,n,2.0NRT,290.84,0.62,N
36.94004,42.17126,319.34,0.51,0.66,2026-08-26,9,N,VIIRS,n,2.0NRT,293.27,2.57,N
36.94401,42.1348,324.67,0.51,0.66,2026-08-26,9,N,VIIRS,n,2.0NRT,295.1,3.06,N
36.94564,42.12918,309.35,0.51,0.66,2026-08-26,9,N,VIIRS,n,2.0NRT,295.14,3.46,N
36.9655,42.08315,309.19,0.5,0.66,2026-08-26,9,N,VIIRS,n,2.0NRT,291.21,1.78,N
37.00663,42.07656,304.79,0.5,0.66,2026-08-26,9,N,VIIRS,n,2.0NRT,293.78,0.95,N
37.00711,42.07739,305.09,0.5,0.66,2026-08-26,9,N,VIIRS,n,2.0NRT,293.1,0.59,N
37.07716,42.55769,312.14,0.53,0.67,2026-08-26,9,N,VIIRS,n,2.0NRT,297.33,3.76,N
37.07754,42.5626,316.75,0.53,0.67,2026-08-26,9,N,VIIRS,n,2.0NRT,297.56,2.81,N
37.33815,40.80368,307.05,0.42,0.61,2026-08-26,9,N,VIIRS,n,2.0NRT,294.18,0.62,N
37.37659,39.23356,308.89,0.35,0.57,2026-08-26,9,N,VIIRS,n,2.0NRT,291.88,0.61,N
37.38163,39.23553,302.6,0.35,0.57,2026-08-26,9,N,VIIRS,n,2.0NRT,291.77,0.33,N
37.75558,40.2437,310.24,0.39,0.59,2026-08-26,9,N,VIIRS,n,2.0NRT,289.38,0.96,N
37.91078,40.47536,301.01,0.39,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.29,0.55,N
37.91117,40.4736,313.91,0.39,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.95,0.75,N
37.91192,40.47119,305.13,0.39,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.59,0.55,N
38.07314,40.65859,309.09,0.4,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.71,0.96,N
38.07383,40.6578,306.52,0.4,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.79,0.74,N
38.45343,38.72891,303.9,0.62,0.54,2026-08-26,9,N,VIIRS,n,2.0NRT,291.49,0.82,N
