latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime_tr
38.65825,30.61822,298.27,0.74,0.76,2026-08-28,113,N,VIIRS,n,2.0NRT,285.14,1.57,N,2026-08-28 04:13:00+03:00
38.73445,26.94638,305.5,0.49,0.65,2026-08-28,113,N,VIIRS,n,2.0NRT,292.6,2.66,N,2026-08-28 04:13:00+03:00
39.09195,27.51125,303.47,0.51,0.66,2026-08-28,113,N,VIIRS,n,2.0NRT,290.41,1.15,N,2026-08-28 04:13:00+03:00
39.09244,27.51197,304.47,0.51,0.66,2026-08-28,113,N,VIIRS,n,2.0NRT,290.1,1.16,N,2026-08-28 04:13:00+03:00
39.48657,30.03981,295.67,0.66,0.73,2026-08-28,113,N,VIIRS,n,2.0NRT,284.36,1.0,N,2026-08-28 04:13:00+03:00
39.60815,27.87794,298.55,0.51,0.66,2026-08-28,113,N,VIIRS,n,2.0NRT,288.48,0.42,N,2026-08-28 04:13:00+03:00
37.33815,40.80368,307.05,0.42,0.61,2026-08-26,9,N,VIIRS,n,2.0NRT,294.18,0.62,N,2026-08-26 03:09:00+03:00
37.37659,39.23356,308.89,0.35,0.57,2026-08-26,9,N,VIIRS,n,2.0NRT,291.88,0.61,N,2026-08-26 03:09:00+03:00
37.38163,39.23553,302.6,0.35,0.57,2026-08-26,9,N,VIIRS,n,2.0NRT,291.77,0.33,N,2026-08-26 03:09:00+03:00
37.75558,40.2437,310.24,0.39,0.59,2026-08-26,9,N,VIIRS,n,2.0NRT,289.38,0.96,N,2026-08-26 03:09:00+03:00
37.91078,40.47536,301.01,0.39,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.29,0.55,N,2026-08-26 03:09:00+03:00
37.91117,40.4736,313.91,0.39,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.95,0.75,N,2026-08-26 03:09:00+03:00
37.91192,40.47119,305.13,0.39,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.59,0.55,N,2026-08-26 03:09:00+03:00
38.07314,40.65859,309.09,0.4,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.71,0.96,N,2026-08-26 03:09:00+03:00
38.07383,40.6578,306.52,0.4,0.6,2026-08-26,9,N,VIIRS,n,2.0NRT,289.79,0.74,N,2026-08-26 03:09:00+03:00
38.45343,38.72891,303.9,0.62,0.54,2026-08-26,9,N,VIIRS,n,2.0NRT,291.49,0.82,N,2026-08-26 03:09:00+03:00
38.45461,38.73061,303.59,0.62,0.54,2026-08-26,9,N,VIIRS,n,2.0NRT,291.55,2.05,N,2026-08-26 03:09:00+03:00
38.66573,39.23623,303.33,0.32,0.55,2026-08-26,9,N,VIIRS,n,2.0NRT,291.67,0.61,N,2026-08-26 03:09:00+03:00
38.83761,33.94362,311.23,0.53,0.42,2026-08-26,9,N,VIIRS,n,2.0NRT,286.22,1.85,N,2026-08-26 03:09:00+03:00
38.86786,32.37724,309.31,0.46,0.39,2026-08-26,9,N,VIIRS,n,2.0NRT,287.27,1.68,N,2026-08-26 03:09:00+03:00
38.86885,32.37203,312.54,0.46,0.39,2026-08-26,9,N,VIIRS,n,2.0NRT,287.92,1.68,N,2026-08-26 03:09:00+03:00
38.87238,32.37318,317.58,0.46,0.39,2026-08-26,9,N,VIIRS,n,2.0NRT,288.27,1.68,N,2026-08-26 03:09:00+03:00
39.04803,33.22965,311.86,0.49,0.4,2026-08-26,9,N,VIIRS,n,2.0NRT,286.64,1.24,N,2026-08-26 03:09:00+03:00
39.04903,33.23505,311.85,0.49,0.4,2026-08-26,9,N,VIIRS,n,2.0NRT,286.86,1.64,N,2026-08-26 03:09:00+03:00
39.48659,30.04409,301.63,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,291.0,1.24,N,2026-08-26 03:09:00+03:00
39.74555,30.20108,302.2,0.39,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,289.88,0.5,N,2026-08-26 03:09:00+03:00
39.76793,33.48033,301.02,0.49,0.4,2026-08-26,9,N,VIIRS,n,2.0NRT,289.62,0.35,N,2026-08-26 03:09:00+03:00
39.83748,30.30183,310.85,0.4,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,291.75,1.42,N,2026-08-26 03:09:00+03:00
39.90184,28.8712,323.83,0.38,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,290.68,1.6,N,2026-08-26 03:09:00+03:00
39.92106,34.57492,301.86,0.54,0.42,2026-08-26,9,N,VIIRS,n,2.0NRT,284.29,0.92,N,2026-08-26 03:09:00+03:00
39.94577,33.19286,304.93,0.47,0.4,2026-08-26,9,N,VIIRS,n,2.0NRT,290.03,1.0,N,2026-08-26 03:09:00+03:00
39.94628,33.19096,301.35,0.47,0.4,2026-08-26,9,N,VIIRS,n,2.0NRT,289.69,1.07,N,2026-08-26 03:09:00+03:00
40.04903,32.65186,301.16,0.45,0.39,2026-08-26,9,N,VIIRS,n,2.0NRT,290.1,0.63,N,2026-08-26 03:09:00+03:00
40.05081,32.65015,303.47,0.45,0.39,2026-08-26,9,N,VIIRS,n,2.0NRT,289.98,0.72,N,2026-08-26 03:09:00+03:00
40.09016,35.01201,312.17,0.56,0.43,2026-08-26,9,N,VIIRS,n,2.0NRT,284.29,2.18,N,2026-08-26 03:09:00+03:00
40.24269,29.92662,307.64,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,292.98,1.06,N,2026-08-26 03:09:00+03:00
40.2613,30.04148,307.14,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,291.96,0.7,N,2026-08-26 03:09:00+03:00
40.54073,34.40746,303.01,0.52,0.41,2026-08-26,9,N,VIIRS,n,2.0NRT,287.45,0.77,N,2026-08-26 03:09:00+03:00
40.54323,34.41461,299.49,0.52,0.41,2026-08-26,9,N,VIIRS,n,2.0NRT,287.4,0.84,N,2026-08-26 03:09:00+03:00
40.75867,29.76262,309.96,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,296.1,1.11,N,2026-08-26 03:09:00+03:00
40.76615,29.52838,314.05,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,295.16,1.45,N,2026-08-26 03:09:00+03:00
40.78135,29.60346,315.45,0.39,0.36,2026-08-26,9,N,VIIRS,n,2.0NRT,296.33,1.86,N,2026-08-26 03:09:00+03:00
41.02638,36.10262,297.04,0.4,0.44,2026-08-26,9,N,VIIRS,n,2.0NRT,286.12,0.46,N,2026-08-26 03:09:00+03:00
41.18284,32.63496,304.68,0.44,0.38,2026-08-26,9,N,VIIRS,n,2.0NRT,291.58,1.44,N,2026-08-26 03:09:00+03:00
41.19264,32.622,305.12,0.44,0.38,2026-08-26,9,N,VIIRS,n,2.0NRT,290.37,1.39,N,2026-08-26 03:09:00+03:00
41.23781,36.44258,302.63,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,290.6,0.86,N,2026-08-26 03:09:00+03:00
41.23948,36.46544,320.71,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,288.63,3.28,N,2026-08-26 03:09:00+03:00
41.24156,36.46491,341.99,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,290.99,5.52,N,2026-08-26 03:09:00+03:00
41.24348,36.46703,328.72,0.41,0.45,2026-08-26,9,N,VIIRS,n,2.0NRT,291.44,3.28,N,2026-08-26 03:09:00+03:00
41.61639,35.91119,308.52,0.57,0.43,2026-08-26,9,N,VIIRS,n,2.0NRT,289.89,1.52,N,2026-08-26 03:09:00+03:00
41.63508,27.50438,309.21,0.4,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,292.29,1.36,N,2026-08-26 03:09:00+03:00
41.79775,26.70108,299.04,0.42,0.37,2026-08-26,9,N,VIIRS,n,2.0NRT,288.91,0.57,N,2026-08-26 03:09:00+03:00
36.26243,33.73058,316.98,0.39,0.44,2026-08-26,11,N,VIIRS,n,2.0NRT,298.02,1.66,N,2026-08-26 03:11:00+03:00
37.21287,35.76073,312.67,0.47,0.47,2026-08-26,11,N,VIIRS,n,2.0NRT,294.03,1.18,N,2026-08-26 03:11:00+03:00
37.25264,30.4438,317.66,0.42,0.37,2026-08-26,11,N,VIIRS,n,2.0NRT,294.71,2.17,N,2026-08-26 03:11:00+03:00
37.8632,29.37307,305.92,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,294.99,0.96,N,2026-08-26 03:11:00+03:00
37.89719,30.49493,303.62,0.41,0.37,2026-08-26,11,N,VIIRS,n,2.0NRT,290.36,1.24,N,2026-08-26 03:11:00+03:00
37.9383,32.53448,302.15,0.48,0.4,2026-08-26,11,N,VIIRS,n,2.0NRT,291.15,0.76,N,2026-08-26 03:11:00+03:00
38.1397,30.89104,306.86,0.42,0.38,2026-08-26,11,N,VIIRS,n,2.0NRT,289.88,0.6,N,2026-08-26 03:11:00+03:00
38.14056,30.8863,299.15,0.42,0.38,2026-08-26,11,N,VIIRS,n,2.0NRT,288.01,0.6,N,2026-08-26 03:11:00+03:00
38.1431,30.89197,313.3,0.42,0.38,2026-08-26,11,N,VIIRS,n,2.0NRT,294.79,2.16,N,2026-08-26 03:11:00+03:00
38.4282,27.21898,318.49,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,298.58,2.38,N,2026-08-26 03:11:00+03:00
38.43467,29.42479,307.25,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,290.39,0.98,N,2026-08-26 03:11:00+03:00
38.44173,29.36209,307.67,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,290.98,0.88,N,2026-08-26 03:11:00+03:00
38.44247,29.35767,319.34,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,291.83,1.74,N,2026-08-26 03:11:00+03:00
38.65839,30.61786,309.2,0.41,0.37,2026-08-26,11,N,VIIRS,n,2.0NRT,290.92,1.24,N,2026-08-26 03:11:00+03:00
38.72526,26.94176,309.09,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,295.8,0.89,N,2026-08-26 03:11:00+03:00
38.73531,26.96735,306.73,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.6,1.24,N,2026-08-26 03:11:00+03:00
38.73859,26.94484,321.08,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,299.28,2.62,N,2026-08-26 03:11:00+03:00
38.74055,26.93134,315.25,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.69,1.81,N,2026-08-26 03:11:00+03:00
38.74263,26.96441,310.76,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.5,1.5,N,2026-08-26 03:11:00+03:00
38.74459,26.95092,316.56,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,297.37,2.42,N,2026-08-26 03:11:00+03:00
38.75322,26.93901,308.99,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,296.11,0.83,N,2026-08-26 03:11:00+03:00
38.76255,31.90499,320.16,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,288.1,1.9,N,2026-08-26 03:11:00+03:00
38.76264,31.90877,322.58,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,288.83,1.39,N,2026-08-26 03:11:00+03:00
38.76358,31.90376,298.45,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,287.24,1.39,N,2026-08-26 03:11:00+03:00
38.76603,31.90607,299.72,0.44,0.39,2026-08-26,11,N,VIIRS,n,2.0NRT,287.73,0.42,N,2026-08-26 03:11:00+03:00
39.09146,27.51324,315.87,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,294.2,1.08,N,2026-08-26 03:11:00+03:00
39.09212,27.50881,307.13,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,292.76,1.08,N,2026-08-26 03:11:00+03:00
39.09477,27.51403,309.44,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,294.3,1.08,N,2026-08-26 03:11:00+03:00
39.11393,27.52337,305.73,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,293.21,0.6,N,2026-08-26 03:11:00+03:00
39.16856,27.63152,311.39,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,295.91,1.11,N,2026-08-26 03:11:00+03:00
39.1813,27.5003,304.3,0.39,0.36,2026-08-26,11,N,VIIRS,n,2.0NRT,293.88,0.5,N,2026-08-26 03:11:00+03:00
36.9175,38.7091,339.14,0.34,0.56,2026-08-26,952,N,VIIRS,n,2.0NRT,306.71,6.18,D,2026-08-26 12:52:00+03:00
36.91842,38.71272,367.0,0.34,0.56,2026-08-26,952,N,VIIRS,h,2.0NRT,308.21,13.94,D,2026-08-26 12:52:00+03:00
37.09414,35.94491,345.77,0.46,0.64,2026-08-26,952,N,VIIRS,n,2.0NRT,297.68,6.31,D,2026-08-26 12:52:00+03:00
37.26547,42.22702,350.89,0.43,0.46,2026-08-26,952,N,VIIRS,n,2.0NRT,320.88,9.91,D,2026-08-26 12:52:00+03:00
37.37186,37.14963,337.43,0.4,0.6,2026-08-26,952,N,VIIRS,n,2.0NRT,305.95,4.35,D,2026-08-26 12:52:00+03:00
38.45591,41.9264,337.28,0.43,0.46,2026-08-26,952,N,VIIRS,n,2.0NRT,307.98,1.92,D,2026-08-26 12:52:00+03:00
38.88548,35.63667,348.54,0.43,0.62,2026-08-26,952,N,VIIRS,n,2.0NRT,304.35,8.34,D,2026-08-26 12:52:00+03:00
38.96143,34.63303,355.21,0.48,0.65,2026-08-26,952,N,VIIRS,n,2.0NRT,303.77,8.53,D,2026-08-26 12:52:00+03:00
38.96312,34.63887,349.55,0.48,0.65,2026-08-26,952,N,VIIRS,n,2.0NRT,305.97,8.53,D,2026-08-26 12:52:00+03:00
38.9672,34.63067,344.06,0.48,0.65,2026-08-26,952,N,VIIRS,n,2.0NRT,302.41,8.53,D,2026-08-26 12:52:00+03:00
38.96889,34.63648,367.0,0.48,0.65,2026-08-26,952,N,VIIRS,h,2.0NRT,306.16,8.53,D,2026-08-26 12:52:00+03:00
