grid_id,grid_lat,grid_lon,date,fire_count,avg_brightness,avg_frp,max_frp
36.75_30.5,36.75,30.5,2026-08-29,4,334.08750000000003,5.475,8.37
37.25_30.25,37.25,30.25,2026-08-29,1,305.04,0.98,0.98
37.75_27.5,37.75,27.5,2026-08-29,1,301.55,0.46,0.46
38.0_30.75,38.0,30.75,2026-08-29,2,296.76,1.0899999999999999,1.22
38.5_26.75,38.5,26.75,2026-08-28,1,305.5,2.66,2.66
38.5_26.75,38.5,26.75,2026-08-29,6,304.3566666666666,1.425,2.25
38.5_30.5,38.5,30.5,2026-08-28,1,298.27,1.57,1.57
39.0_27.5,39.0,27.5,2026-08-28,2,303.97,1.1549999999999998,1.16
39.25_30.0,39.25,30.0,2026-08-28,1,295.67,1.0,1.0
39.5_27.75,39.5,27.75,2026-08-28,1,298.55,0.42,0.42
