grid_id,province,district
36.25_29.25,Antalya,Kaş
36.25_30.0,Antalya,Finike
36.25_33.5,Mersin,Silifke
36.25_36.25,Hatay,Kumlu
36.5_35.0,Adana,Bilinmiyor
36.5_35.5,Adana,Yumurtalık
36.5_36.0,Hatay,Bilinmiyor
36.5_36.25,Hatay,Kırıkhan
36.75_30.5,Antalya,Konyaaltı
36.75_31.0,Antalya,Serik
36.75_34.75,Mersin,Tarsus
36.75_35.0,Mersin,Tarsus
36.75_35.25,Adana,Yüreğir
36.75_35.75,Adana,Yumurtalık
36.75_38.5,Şanlıurfa,Akçakale
36.75_39.25,Şanlıurfa,Harran
37.0_30.75,Antalya,Serik
37.0_31.25,Antalya,İbradı
37.0_33.75,Karaman,Ayrancı
37.0_35.0,Adana,Çukurova
37.0_35.5,Adana,Bilinmiyor
37.0_35.75,Adana,Bilinmiyor
37.0_36.0,Osmaniye,Bilinmiyor
37.0_36.75,Gaziantep,Nurdağı
37.0_38.25,Şanlıurfa,Bozova
37.0_39.0,Şanlıurfa,Haliliye
37.0_39.25,Şanlıurfa,Haliliye
37.0_39.5,Şanlıurfa,Viranşehir
37.0_40.0,Mardin,Derik
37.0_42.0,Hasiçi İli,منطقة المالكية
37.25_30.25,Burdur,Bucak
37.25_31.25,Antalya,Manavgat
37.25_32.5,Konya,Çumra
37.25_35.5,Adana,Kozan
37.25_35.75,Adana,Kozan
37.25_36.75,Kahramanmaraş,Türkoğlu
37.25_37.0,Kahramanmaraş,Pazarcık
37.25_38.5,Şanlıurfa,Bozova
37.25_39.0,Şanlıurfa,Haliliye
37.25_39.25,Şanlıurfa,Siverek
37.25_39.5,Şanlıurfa,Viranşehir
37.25_40.75,Mardin,Ömerli
37.25_41.0,Mardin,Ömerli
37.25_42.0,Şırnak,Cizre
37.25_42.25,Şırnak,Cizre
37.25_43.5,Hakkâri,Çukurca
37.5_32.75,Konya,Çumra
37.5_37.25,Kahramanmaraş,Pazarcık
37.5_38.0,Adıyaman,Bilinmiyor
37.5_38.25,Adıyaman,Bilinmiyor
37.5_39.0,Şanlıurfa,Siverek
37.5_39.25,Şanlıurfa,Siverek
37.5_42.25,Şırnak,Şırnak Merkez
37.75_27.5,Aydın,Germencik
37.75_28.0,Aydın,Sultanhisar
37.75_29.0,Denizli,Pamukkale
37.75_29.25,Denizli,Çal
37.75_30.25,Isparta,Gönen
37.75_30.5,Isparta,Bilinmiyor
37.75_32.5,Konya,Karatay
37.75_33.5,Konya,Karapınar
37.75_38.25,Adıyaman,Bilinmiyor
37.75_38.75,Adıyaman,Kâhta
37.75_40.0,Diyarbakır,Bağlar
37.75_40.25,Diyarbakır,Sur
37.75_40.5,Diyarbakır,Bismil
38.0_30.75,Isparta,Gelendost
38.0_37.0,Kahramanmaraş,Ekinözü
38.0_39.75,Diyarbakır,Ergani
38.0_40.0,Diyarbakır,Eğil
38.0_40.25,Diyarbakır,Sur
38.0_40.5,Diyarbakır,Sur
38.0_40.75,Diyarbakır,Silvan
38.0_41.75,Siirt,Baykan
38.25_27.0,İzmir,Karabağlar
38.25_29.25,Uşak,Ulubey
38.25_31.25,Konya,Akşehir
38.25_31.5,Konya,Akşehir
38.25_36.0,Kayseri,Tomarza
38.25_38.25,Malatya,Battalgazi
38.25_38.5,Malatya,Battalgazi
38.25_40.25,Diyarbakır,Hani
38.25_41.75,Bitlis,Mutki
38.5_26.75,İzmir,Foça
38.5_30.5,Afyonkarahisar,Bilinmiyor
38.5_31.5,Konya,Tuzlukçu
38.5_31.75,Konya,Yunak
38.5_34.0,Aksaray,Bilinmiyor
38.5_38.25,Elazığ,Baskil
38.5_39.0,Elazığ,Bilinmiyor
38.5_39.25,Elazığ,Bilinmiyor
38.75_26.75,İzmir,Bilinmiyor
38.75_30.5,Afyonkarahisar,Bilinmiyor
38.75_31.75,Konya,Yunak
38.75_32.25,Konya,Yunak
38.75_32.75,Konya,Cihanbeyli
38.75_33.75,Aksaray,Ağaçören
38.75_34.25,Kırşehir,Mucur
38.75_34.5,Nevşehir,Hacıbektaş
38.75_35.5,Kayseri,Kocasinan
38.75_37.75,Malatya,Hekimhan
38.75_38.75,Elazığ,Keban
38.75_39.75,Elazığ,Karakoçan
39.0_27.25,İzmir,Kınık
39.0_27.5,Manisa,Soma
39.0_31.5,Eskişehir,Sivrihisar
39.0_33.0,Konya,Kulu
39.0_34.5,Nevşehir,Hacıbektaş
39.0_35.0,Yozgat,Boğazlıyan
39.0_40.75,Bingöl,Karlıova
39.25_30.0,Kütahya,Bilinmiyor
39.25_33.5,Kırşehir,Kaman
39.25_34.5,Kırşehir,Çiçekdağı
39.25_34.75,Yozgat,Kozaklı
39.25_35.25,Yozgat,Sarıkaya Deresi
39.25_42.25,Muş,Malazgirt
39.5_27.75,Balıkesir,Altıeylül
39.5_30.0,Kütahya,Bilinmiyor
39.5_31.75,Eskişehir,Sivrihisar
39.5_34.0,Kırşehir,Akçakent
39.5_34.5,Yozgat,Yerköy
39.5_42.75,Ağrı,Tutak
39.75_28.75,Bursa,Orhaneli
39.75_30.25,Eskişehir,Tepebaşı
39.75_32.75,Ankara,Çankaya
39.75_33.0,Ankara,Mamak
39.75_33.25,Kırıkkale,Yahşihan
39.75_34.5,Yozgat,Yozgat Merkez
39.75_34.75,Yozgat,Yozgat Merkez
39.75_43.0,Ağrı,Bilinmiyor
40.0_28.75,Bursa,Nilüfer
40.0_29.75,Bilecik,Bilinmiyor
40.0_32.5,Ankara,Kahramankazan
40.0_32.75,Ankara,Pursaklar
40.0_34.25,Çorum,Sungurlu
40.0_34.75,Çorum,Alaca
40.0_35.0,Çorum,Alaca
40.0_35.75,Tokat,Zile
40.25_29.25,Bursa,Orhangazi
40.25_30.0,Bilecik,Osmaneli
40.25_33.25,Ankara,Kalecik
40.25_33.5,Çankırı,Bilinmiyor
40.25_33.75,Çankırı,Bilinmiyor
40.25_34.0,Çorum,Sungurlu
40.25_34.25,Çorum,Sungurlu
40.25_40.5,Erzurum,Pazaryolu
40.5_26.5,Edirne,Keşan
40.5_30.25,Sakarya,Geyve
40.5_34.0,Çorum,Bayat
40.5_34.25,Çorum,İskilip
40.5_34.75,Çorum,Bilinmiyor
40.5_36.5,Tokat,Erbaa
40.75_29.25,İstanbul,Tuzla
40.75_29.5,Kocaeli,Dilovası
40.75_29.75,Kocaeli,Derince
40.75_31.75,Bolu,Mengen
40.75_35.25,Amasya,Merzifon
40.75_35.5,Amasya,Merzifon
41.0_32.5,Karabük,Bilinmiyor
41.0_36.0,Samsun,Kavak
41.0_36.25,Samsun,Tekkeköy
41.25_27.5,Tekirdağ,Ergene
41.5_27.5,Kırklareli,Vize
41.5_35.75,Samsun,Bafra
41.75_26.5,Edirne,Lalapaşa
35.75_36.0,Hatay,Yayladağı
35.75_36.25,İdlip İli,منطقة جسر الشغور
36.0_30.0,Antalya,Bilinmiyor
36.0_32.25,Antalya,Bilinmiyor
36.0_32.5,Mersin,Anamur
36.0_32.75,Mersin,Anamur
36.0_33.0,Mersin,Bozyazı
36.0_33.25,Mersin,Aydıncık
36.0_33.5,Mersin,Bilinmiyor
36.0_35.75,Hatay,Bilinmiyor
36.0_36.0,Hatay,Defne
36.0_36.25,Hatay,Altınözü
36.0_36.5,İdlip İli,منطقة حارم
36.25_29.0,Muğla,Bilinmiyor
36.25_29.5,Antalya,Kaş
36.25_29.75,Antalya,Kaş
36.25_30.25,Antalya,Kumluca
36.25_32.0,Antalya,Bilinmiyor
36.25_32.25,Antalya,Gazipaşa
36.25_32.5,Mersin,Anamur
36.25_32.75,Mersin,Anamur
36.25_33.0,Mersin,Gülnar
36.25_33.25,Mersin,Gülnar
36.25_33.75,Mersin,Silifke
36.25_34.0,Mersin,Bilinmiyor
36.25_35.75,Hatay,Arsuz
36.25_36.0,Hatay,Antakya
36.25_36.5,Halep İli,Bilinmiyor
36.5_28.5,Muğla,Bilinmiyor
36.5_28.75,Muğla,Bilinmiyor
36.5_29.0,Muğla,Fethiye
36.5_29.25,Muğla,Seydikemer
36.5_29.5,Muğla,Seydikemer
36.5_29.75,Antalya,Elmalı
36.5_30.0,Antalya,Elmalı
36.5_30.25,Antalya,Kumluca
36.5_30.5,Antalya,Bilinmiyor
36.5_31.25,Antalya,Bilinmiyor
36.5_31.5,Antalya,Bilinmiyor
36.5_31.75,Antalya,Alanya
36.5_32.0,Antalya,Alanya
36.5_32.25,Antalya,Alanya
36.5_32.5,Karaman,Sarıveliler
36.5_32.75,Karaman,Ermenek
36.5_33.0,Mersin,Mut
36.5_33.25,Mersin,Mut
36.5_33.5,Mersin,Mut
36.5_33.75,Mersin,Silifke
36.5_34.0,Mersin,Erdemli
36.5_34.25,Mersin,Bilinmiyor
36.5_34.75,Adana,Bilinmiyor
36.5_35.25,Adana,Karataş
36.5_36.5,Halep İli,Bilinmiyor
36.5_36.75,Halep İli,Bilinmiyor
36.5_37.0,Halep İli,Bilinmiyor
36.5_37.25,Halep İli,Bilinmiyor
36.5_38.5,Rakka İli,منطقة تل أبيض
36.5_38.75,Rakka İli,منطقة تل أبيض
36.5_39.0,Rakka İli,منطقة تل أبيض
36.5_39.25,Rakka İli,منطقة تل أبيض
36.5_39.5,Hasiçi İli,منطقة رأس العين
36.75_28.0,Muğla,Marmaris
36.75_28.25,Muğla,Marmaris
36.75_28.5,Muğla,Köyceğiz
36.75_28.75,Muğla,Dalaman
36.75_29.0,Muğla,Dalaman
36.75_29.25,Burdur,Gölhisar
36.75_29.5,Muğla,Seydikemer
36.75_29.75,Antalya,Korkuteli
36.75_30.0,Antalya,Korkuteli
36.75_30.25,Antalya,Konyaaltı
36.75_30.75,Antalya,Aksu
36.75_31.25,Antalya,Manavgat
36.75_31.75,Antalya,Bilinmiyor
36.75_32.0,Antalya,Gündoğmuş
36.75_32.25,Konya,Hadim
36.75_32.5,Konya,Taşkent
36.75_33.0,Karaman,Bilinmiyor
36.75_33.25,Mersin,Mut
36.75_33.5,Mersin,Mut
36.75_34.25,Mersin,Mezitli
36.75_34.5,Mersin,Toroslar
36.75_35.5,Adana,Yüreğir
36.75_36.0,Hatay,Dörtyol
36.75_36.25,Hatay,Dörtyol
36.75_36.5,Gaziantep,İslahiye
36.75_36.75,Kilis,Musabeyli
36.75_37.0,Kilis,Polateli
36.75_37.25,Gaziantep,Şahinbey
36.75_37.5,Gaziantep,Oğuzeli
36.75_37.75,Gaziantep,Karkamış
36.75_38.0,Halep İli,Bilinmiyor
36.75_38.25,Halep İli,ناحية مركز عين العرب
36.75_38.75,Şanlıurfa,Akçakale
36.75_39.0,Şanlıurfa,Harran
36.75_39.5,Şanlıurfa,Ceylanpınar
36.75_39.75,Şanlıurfa,Ceylanpınar
36.75_40.0,Şanlıurfa,Ceylanpınar
36.75_40.25,Hasiçi İli,منطقة رأس العين
37.0_27.25,Muğla,Bodrum
37.0_27.5,Muğla,Bodrum
37.0_27.75,Muğla,Milas
37.0_28.0,Muğla,Menteşe
37.0_28.25,Muğla,Ula
37.0_28.75,Muğla,Köyceğiz
37.0_29.0,Denizli,Acıpayam
37.0_29.25,Denizli,Çameli
37.0_29.5,Burdur,Gölhisar
37.0_29.75,Antalya,Korkuteli
37.0_30.0,Antalya,Korkuteli
37.0_30.25,Antalya,Korkuteli
37.0_30.5,Antalya,Döşemealtı
37.0_31.0,Antalya,Manavgat
37.0_31.5,Antalya,İbradı
37.0_32.25,Konya,Bozkır
37.0_33.0,Karaman,Bilinmiyor
37.0_33.25,Karaman,Bilinmiyor
37.0_33.5,Karaman,Bilinmiyor
37.0_34.25,Mersin,Toroslar
37.0_34.5,Mersin,Çamlıyayla
37.0_34.75,Mersin,Tarsus
37.0_35.25,Adana,Sarıçam
37.0_36.25,Osmaniye,Bilinmiyor
37.0_36.5,Osmaniye,Hasanbeyli
37.0_37.0,Gaziantep,Şehitkamil
37.0_37.25,Gaziantep,Şehitkamil
37.0_37.5,Gaziantep,Şehitkamil
37.0_37.75,Gaziantep,Nizip
37.0_38.0,Şanlıurfa,Birecik
37.0_38.5,Şanlıurfa,Karaköprü
37.0_38.75,Şanlıurfa,Haliliye
37.0_39.75,Şanlıurfa,Ceylanpınar
37.0_40.25,Mardin,Kızıltepe
37.0_40.5,Mardin,Kızıltepe
37.0_40.75,Hasiçi İli,Kamışlı
37.0_41.0,Mardin,Nusaybin
37.0_41.25,Mardin,Nusaybin
37.0_41.5,Mardin,Nusaybin
37.0_41.75,Hasiçi İli,منطقة المالكية
37.0_42.25,Şırnak,Silopi
37.0_44.0,Erbil ili,قەزای مێرگەسۆر
37.0_44.25,Hakkâri,Derecik
37.25_27.25,Aydın,Didim
37.25_27.5,Muğla,Milas
37.25_27.75,Muğla,Milas
37.25_28.0,Muğla,Yatağan
37.25_28.25,Muğla,Kavaklıdere
37.25_28.5,Muğla,Menteşe
37.25_29.25,Denizli,Acıpayam
37.25_29.5,Burdur,Karamanlı
37.25_29.75,Burdur,Karamanlı
37.25_30.0,Burdur,Kemer
37.25_30.5,Burdur,Bucak
37.25_30.75,Burdur,Bucak
37.25_31.75,Konya,Seydişehir
37.25_32.0,Konya,Seydişehir
37.25_32.25,Konya,Akören
37.25_32.75,Konya,Çumra
37.25_33.0,Karaman,Bilinmiyor
37.25_33.25,Karaman,Bilinmiyor
37.25_33.5,Karaman,Ayrancı
37.25_33.75,Karaman,Ayrancı
37.25_34.0,Konya,Ereğli
37.25_34.25,Konya,Halkapınar
37.25_34.5,Mersin,Tarsus
37.25_34.75,Adana,Pozantı
37.25_35.0,Adana,Karaisalı
37.25_35.25,Adana,Karaisalı
37.25_36.0,Osmaniye,Kadirli
37.25_36.25,Kahramanmaraş,Andırın
37.25_36.5,Kahramanmaraş,Onikişubat
37.25_37.25,Kahramanmaraş,Pazarcık
37.25_37.5,Gaziantep,Yavuzeli
37.25_37.75,Gaziantep,Araban
37.25_38.0,Şanlıurfa,Bozova
37.25_38.25,Şanlıurfa,Bozova
37.25_38.75,Şanlıurfa,Karaköprü
37.25_39.75,Şanlıurfa,Viranşehir
37.25_40.0,Mardin,Derik
37.25_40.25,Mardin,Mazıdağı
37.25_40.5,Mardin,Artuklu
37.25_41.25,Mardin,Midyat
37.25_41.5,Şırnak,İdil
37.25_41.75,Şırnak,İdil
37.25_42.5,Şırnak,Silopi
37.25_42.75,Şırnak,Uludere
37.25_43.0,Şırnak,Uludere
37.25_43.25,Hakkâri,Çukurca
37.25_43.75,Hakkâri,Bilinmiyor
37.25_44.0,Hakkâri,Yüksekova
37.25_44.25,Hakkâri,Şemdinli
37.5_27.0,Aydın,Bilinmiyor
37.5_27.25,Aydın,Söke
37.5_27.5,Aydın,Söke
37.5_27.75,Aydın,Karpuzlu
37.5_28.0,Aydın,Çine
37.5_28.25,Aydın,Bozdoğan
37.5_28.5,Aydın,Karacasu
37.5_28.75,Denizli,Tavas
37.5_29.0,Denizli,Tavas
37.5_29.25,Denizli,Serinhisar
37.5_29.5,Burdur,Yeşilova
37.5_29.75,Burdur,Yeşilova
37.5_30.0,Burdur,Bilinmiyor
37.5_30.25,Burdur,Bilinmiyor
37.5_30.5,Burdur,Ağlasun
37.5_30.75,Isparta,Eğirdir
37.5_31.25,Konya,Beyşehir
37.5_31.5,Konya,Beyşehir
37.5_31.75,Konya,Seydişehir
37.5_32.25,Konya,Meram
37.5_32.5,Konya,Çumra
37.5_33.0,Konya,Çumra
37.5_33.25,Konya,Karapınar
37.5_33.5,Konya,Karapınar
37.5_33.75,Konya,Karapınar
37.5_34.0,Konya,Ereğli
37.5_34.25,Niğde,Ulukışla
37.5_34.5,Niğde,Ulukışla
37.5_34.75,Adana,Pozantı
37.5_35.0,Adana,Aladağ
37.5_35.5,Adana,Kozan
37.5_35.75,Adana,Kozan
37.5_36.0,Osmaniye,Sumbas
37.5_36.25,Kahramanmaraş,Andırın
37.5_36.5,Kahramanmaraş,Onikişubat
37.5_36.75,Kahramanmaraş,Onikişubat
37.5_37.0,Kahramanmaraş,Dulkadiroğlu
37.5_37.5,Adıyaman,Gölbaşı
37.5_37.75,Adıyaman,Besni
37.5_38.5,Adıyaman,Kâhta
37.5_38.75,Şanlıurfa,Hilvan
37.5_39.5,Şanlıurfa,Siverek
37.5_39.75,Diyarbakır,Çınar
37.5_40.0,Diyarbakır,Çınar
37.5_40.25,Mardin,Mazıdağı
37.5_40.5,Diyarbakır,Çınar
37.5_40.75,Diyarbakır,Bismil
37.5_41.0,Batman,Gercüş
37.5_41.25,Batman,Gercüş
37.5_41.5,Batman,Gercüş
37.5_41.75,Şırnak,Güçlükonak
37.5_42.0,Şırnak,Şırnak Merkez
37.5_42.5,Şırnak,Şırnak Merkez
37.5_42.75,Şırnak,Beytüşşebap
37.5_43.0,Şırnak,Beytüşşebap
37.5_43.5,Hakkâri,Bilinmiyor
37.5_43.75,Hakkâri,Bilinmiyor
37.5_44.0,Hakkâri,Yüksekova
37.5_44.25,Hakkâri,Yüksekova
37.75_27.0,Bilinmiyor,Bilinmiyor
37.75_27.25,İzmir,Selçuk
37.75_27.75,Aydın,Efeler
37.75_28.25,Aydın,Nazilli
37.75_28.5,Aydın,Kuyucak
37.75_28.75,Denizli,Sarayköy
37.75_29.5,Denizli,Bozkurt
37.75_29.75,Afyonkarahisar,Dazkırı
37.75_30.0,Afyonkarahisar,Başmakçı
37.75_30.75,Isparta,Eğirdir
37.75_31.0,Isparta,Eğirdir
