latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.86541,26.24283,300.13,0.41,0.61,2025-04-03,102,N,VIIRS,n,2,274.1,1.31,N,2
35.52757,44.34003,354.95,0.6,0.71,2025-04-03,902,N,VIIRS,n,2,304.38,4.94,D,2
35.53385,44.33744,337.62,0.6,0.71,2025-04-03,902,N,VIIRS,n,2,302.22,4.94,D,2
35.62513,44.01185,339.09,0.62,0.71,2025-04-03,902,N,VIIRS,n,2,304.18,7.29,D,2
35.62718,44.01261,367.0,0.62,0.71,2025-04-03,902,N,VIIRS,h,2,308.0,19.54,D,2
35.63136,44.00879,367.0,0.62,0.71,2025-04-03,902,N,VIIRS,h,2,302.01,7.29,D,2
35.66143,43.96598,367.0,0.62,0.72,2025-04-03,902,N,VIIRS,h,2,306.57,8.91,D,2
35.682,43.87816,367.0,0.63,0.72,2025-04-03,902,N,VIIRS,h,2,306.15,27.78,D,2
35.68556,43.87877,367.0,0.63,0.72,2025-04-03,902,N,VIIRS,h,2,307.52,29.21,D,2
35.72475,44.04263,345.81,0.61,0.71,2025-04-03,902,N,VIIRS,n,2,302.82,5.84,D,2
36.77357,43.32928,331.01,0.63,0.72,2025-04-03,902,N,VIIRS,n,2,296.12,3.35,D,2
36.77617,43.33086,332.92,0.63,0.72,2025-04-03,902,N,VIIRS,n,2,295.68,5.97,D,2
36.90407,43.38932,330.24,0.62,0.71,2025-04-03,902,N,VIIRS,n,2,292.05,4.5,D,2
36.90598,43.38757,333.88,0.62,0.71,2025-04-03,902,N,VIIRS,n,2,292.71,4.33,D,2
35.52755,44.33791,342.44,0.62,0.54,2025-04-03,1042,N,VIIRS,n,2,309.45,6.88,D,2
35.52806,44.34478,343.91,0.62,0.54,2025-04-03,1042,N,VIIRS,n,2,309.45,6.88,D,2
35.53257,44.3373,345.31,0.62,0.54,2025-04-03,1042,N,VIIRS,n,2,308.89,6.88,D,2
35.6288,44.00925,354.89,0.6,0.53,2025-04-03,1042,N,VIIRS,n,2,309.78,20.18,D,2
35.66014,43.96496,345.58,0.6,0.53,2025-04-03,1042,N,VIIRS,n,2,312.46,10.06,D,2
35.66114,43.96278,343.19,0.6,0.53,2025-04-03,1042,N,VIIRS,n,2,311.26,15.6,D,2
35.6842,43.87287,338.65,0.59,0.53,2025-04-03,1042,N,VIIRS,n,2,309.52,15.99,D,2
35.6847,43.87954,345.01,0.59,0.53,2025-04-03,1042,N,VIIRS,n,2,315.33,33.34,D,2
35.72187,44.04399,339.73,0.6,0.53,2025-04-03,1042,N,VIIRS,n,2,308.68,3.24,D,2
35.72682,44.04337,343.62,0.6,0.53,2025-04-03,1042,N,VIIRS,n,2,309.56,13.95,D,2
36.07014,38.1262,336.25,0.46,0.39,2025-04-03,1042,N,VIIRS,n,2,302.4,14.16,D,3
36.94807,42.13276,335.47,0.49,0.48,2025-04-03,1042,N,VIIRS,n,2,304.9,2.89,D,2
36.87746,30.99971,327.48,0.43,0.38,2025-04-03,1043,N,VIIRS,n,2,294.34,2.16,D,0
38.41727,43.23783,299.43,0.39,0.36,2025-04-03,2302,N,VIIRS,n,2,277.8,0.76,N,2
41.2388,36.44418,305.94,0.41,0.45,2025-04-03,2302,N,VIIRS,n,2,276.29,0.97,N,2
41.24105,36.46479,317.47,0.41,0.45,2025-04-03,2302,N,VIIRS,n,2,277.75,2.45,N,2
35.51,44.37341,297.86,0.42,0.38,2025-04-03,2303,N,VIIRS,n,2,279.49,0.26,N,2
35.52411,44.34593,328.03,0.42,0.38,2025-04-03,2303,N,VIIRS,n,2,284.07,3.19,N,2
35.52493,44.3414,328.42,0.42,0.38,2025-04-03,2303,N,VIIRS,n,2,284.94,3.19,N,2
35.52588,44.34431,341.91,0.42,0.38,2025-04-03,2303,N,VIIRS,n,2,286.32,4.57,N,2
35.52669,44.33977,311.75,0.42,0.38,2025-04-03,2303,N,VIIRS,n,2,284.37,1.97,N,2
35.52834,44.3423,332.54,0.42,0.38,2025-04-03,2303,N,VIIRS,n,2,286.68,3.19,N,2
35.52915,44.33776,329.99,0.42,0.37,2025-04-03,2303,N,VIIRS,n,2,287.33,5.45,N,2
35.53256,44.33866,345.61,0.42,0.37,2025-04-03,2303,N,VIIRS,n,2,287.7,4.98,N,2
35.56358,44.28516,313.26,0.42,0.37,2025-04-03,2303,N,VIIRS,n,2,284.41,0.98,N,2
35.62671,44.01036,324.42,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,288.15,6.2,N,2
35.62749,44.00591,328.7,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,286.25,6.59,N,2
35.63007,44.01126,321.74,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,292.01,6.2,N,2
35.63086,44.00681,328.67,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,289.04,6.59,N,2
35.66307,43.96397,330.41,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,293.27,12.29,N,2
35.67696,44.06579,312.6,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,286.27,1.44,N,2
35.68197,43.87608,301.95,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,284.58,1.04,N,2
35.68533,43.87695,332.68,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,303.57,37.09,N,2
35.7234,44.04289,327.81,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,286.77,1.18,N,2
35.72418,44.03844,321.36,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,286.57,2.28,N,2
35.72676,44.04377,295.46,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,285.24,1.18,N,2
35.72834,44.03484,327.1,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,286.0,2.28,N,2
35.72913,44.0304,299.39,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,284.51,1.49,N,2
35.77067,43.99463,315.39,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,286.1,1.68,N,2
35.77404,43.9955,328.94,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,288.12,2.75,N,2
35.81247,43.25761,298.63,0.39,0.36,2025-04-03,2303,N,VIIRS,n,2,285.02,1.04,N,2
35.83453,43.22088,296.38,0.39,0.36,2025-04-03,2303,N,VIIRS,n,2,285.63,0.75,N,2
35.87358,44.08963,296.89,0.41,0.37,2025-04-03,2303,N,VIIRS,n,2,283.65,0.29,N,0
35.95354,43.73048,301.98,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,285.0,0.91,N,2
35.96549,43.76819,298.95,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,286.12,0.79,N,2
35.9696,43.76468,298.37,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,287.41,1.43,N,2
35.97551,43.7709,298.12,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,285.24,0.91,N,2
35.97961,43.76739,310.08,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,287.48,1.2,N,2
35.99784,43.76303,306.32,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,284.12,0.6,N,2
35.99861,43.75863,295.2,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,284.83,0.6,N,2
36.01896,43.68139,301.13,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,284.67,0.99,N,2
36.08209,43.63851,306.78,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,281.85,0.65,N,0
36.0981,43.63203,304.6,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,282.48,0.94,N,0
36.12466,43.78101,309.33,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,282.9,0.98,N,2
36.12801,43.78188,308.57,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,286.23,0.98,N,2
36.13167,40.80838,299.57,0.39,0.36,2025-04-03,2303,N,VIIRS,n,2,282.79,0.62,N,2
36.13778,41.08981,295.08,0.39,0.36,2025-04-03,2303,N,VIIRS,n,2,282.18,0.34,N,0
36.13848,43.76165,295.58,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,285.35,0.77,N,0
36.141,40.81493,301.71,0.39,0.36,2025-04-03,2303,N,VIIRS,n,2,282.08,0.79,N,2
36.14432,40.81566,310.09,0.39,0.36,2025-04-03,2303,N,VIIRS,n,2,281.87,0.85,N,2
36.14959,43.77825,297.4,0.4,0.37,2025-04-03,2303,N,VIIRS,n,2,287.27,0.49,N,0
36.34861,42.07579,299.68,0.38,0.36,2025-04-03,2303,N,VIIRS,n,2,285.57,0.98,N,0
36.35189,42.07658,303.55,0.38,0.36,2025-04-03,2303,N,VIIRS,n,2,286.29,0.73,N,2
36.4416,42.93153,316.18,0.39,0.36,2025-04-03,2303,N,VIIRS,n,2,287.08,2.04,N,2
