latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35.52736,44.34265,326.09,0.48,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,298.31,2.71,N
35.52901,44.34162,326.69,0.48,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,298.66,3.69,N
35.53204,44.33846,334.92,0.48,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,298.45,5.47,N
35.53568,44.33949,323.63,0.48,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,296.98,1.76,N
35.53672,44.33424,309.73,0.48,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,297.76,1.76,N
35.56624,44.28197,329.79,0.48,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,299.18,3.22,N
35.58428,44.24858,311.88,0.48,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,297.82,2.12,N
35.62593,36.33027,308.88,0.45,0.39,2026-07-16,2320,N,VIIRS,n,2.0NRT,296.89,1.81,N
35.62664,36.3319,311.24,0.45,0.39,2026-07-16,2320,N,VIIRS,n,2.0NRT,297.15,1.86,N
35.62776,44.00589,332.53,0.47,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,300.52,5.47,N
35.63035,44.01202,329.16,0.47,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,301.27,8.4,N
35.63134,44.00695,337.47,0.47,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,311.01,27.42,N
35.65991,36.35883,307.99,0.45,0.39,2026-07-16,2320,N,VIIRS,n,2.0NRT,296.02,1.73,N
35.66166,43.96724,310.85,0.47,0.39,2026-07-16,2320,N,VIIRS,n,2.0NRT,300.76,3.48,N
35.66264,43.96215,330.81,0.47,0.39,2026-07-16,2320,N,VIIRS,n,2.0NRT,302.13,5.04,N
35.67723,44.06344,310.74,0.47,0.4,2026-07-16,2320,N,VIIRS,n,2.0NRT,299.69,2.1,N
35.68267,43.87727,313.18,0.46,0.39,2026-07-16,2320,N,VIIRS,n,2.0NRT,300.02,3.38,N
35.68623,43.87829,327.94,0.46,0.39,2026-07-16,2320,N,VIIRS,n,2.0NRT,319.39,44.55,N
